,CLOSE,MKT_CAP_ARD
2010-01-04,236.4644,
2010-01-05,237.6243,
2010-01-06,237.5877,
2010-01-07,239.6324,
2010-01-08,239.5999,
2010-01-11,239.356,
2010-01-12,236.3668,
2010-01-13,238.5461,
2010-01-14,238.6529,
2010-01-15,236.5079,
2010-01-18,236.5079,
2010-01-19,239.2855,
2010-01-20,236.4812,
2010-01-21,233.4249,
2010-01-22,229.098,
2010-01-25,229.8792,
2010-01-26,230.0877,
2010-01-27,230.8976,
2010-01-28,229.4163,
2010-01-29,228.1301,
2010-02-01,230.6479,
2010-02-02,234.0075,
2010-02-03,234.3714,
2010-02-04,227.676,
2010-02-05,226.6112,
2010-02-08,225.6923,
2010-02-09,228.8668,
2010-02-10,227.8308,
2010-02-11,230.3247,
2010-02-12,230.2919,
2010-02-22,237.9578,
2010-02-23,236.6317,
2010-02-24,239.7748,
2010-02-25,239.6494,
2010-02-26,240.2187,
2010-03-01,244.1005,
2010-03-02,243.3745,
2010-03-03,243.4347,
2010-03-04,245.8031,
2010-03-05,249.6763,
2010-03-08,250.5647,
2010-03-09,250.3537,
2010-03-10,251.1654,
2010-03-11,252.5727,
2010-03-12,253.164,
2010-03-15,253.479,
2010-03-16,254.9028,
2010-03-17,256.1391,
2010-03-18,256.2421,
2010-03-19,254.6793,
2010-03-22,258.0221,
2010-03-23,259.1407,
2010-03-24,257.9278,
2010-03-25,259.3114,
2010-03-26,260.6966,
2010-03-29,260.6483,
2010-03-30,260.7199,
2010-03-31,258.6931,
2010-04-01,260.5955,
2010-04-02,260.5955,
2010-04-06,264.0664,
2010-04-07,262.6887,
2010-04-08,265.3801,
2010-04-09,267.7171,
2010-04-12,267.7051,
2010-04-13,269.2574,
2010-04-14,273.1775,
2010-04-15,274.2379,
2010-04-16,270.4938,
2010-04-19,271.2002,
2010-04-20,274.2509,
2010-04-21,275.792,
2010-04-22,280.3829,
2010-04-23,281.6413,
2010-04-26,283.2366,
2010-04-27,275.0774,
2010-04-28,274.2817,
2010-04-29,279.9323,
2010-04-30,274.2667,
2010-05-04,271.711,
2010-05-05,267.7984,
2010-05-06,258.3542,
