,CLOSE,MKT_CAP_ARD
2010-01-04,277.0001,
2010-01-05,276.7006,
2010-01-06,276.3541,
2010-01-07,276.2763,
2010-01-08,274.8731,
2010-01-11,275.9758,
2010-01-12,277.4497,
2010-01-13,279.3085,
2010-01-14,279.1629,
2010-01-15,277.3354,
2010-01-18,277.3354,
2010-01-19,279.1011,
2010-01-20,276.3443,
2010-01-21,272.2095,
2010-01-22,271.2991,
2010-01-25,271.8526,
2010-01-26,271.8625,
2010-01-27,272.1758,
2010-01-28,271.4979,
2010-01-29,270.8762,
2010-02-01,273.0456,
2010-02-02,276.5737,
2010-02-03,275.1508,
2010-02-04,268.743,
2010-02-05,268.5171,
2010-02-08,267.6447,
2010-02-09,271.3459,
2010-02-10,270.8814,
2010-02-11,273.2627,
2010-02-12,272.6121,
2010-02-22,279.682,
2010-02-23,278.1004,
2010-02-24,280.0769,
2010-02-25,279.683,
2010-02-26,278.1867,
2010-03-01,280.0451,
2010-03-02,281.131,
2010-03-03,281.4772,
2010-03-04,282.6678,
2010-03-05,284.1119,
2010-03-08,283.0722,
2010-03-09,282.5823,
2010-03-10,281.9871,
2010-03-11,282.1271,
2010-03-12,282.2354,
2010-03-15,284.6225,
2010-03-16,285.7034,
2010-03-17,287.1168,
2010-03-18,287.0464,
2010-03-19,286.8217,
2010-03-22,287.9245,
2010-03-23,290.3072,
2010-03-24,287.3913,
2010-03-25,287.4989,
2010-03-26,287.8301,
2010-03-29,289.3024,
2010-03-30,289.6085,
2010-03-31,288.1319,
2010-04-01,289.5752,
2010-04-02,289.5752,
2010-04-06,288.4183,
2010-04-07,286.8501,
2010-04-08,286.8415,
2010-04-09,288.6308,
2010-04-12,288.9227,
2010-04-13,288.858,
2010-04-14,288.9006,
2010-04-15,288.1618,
2010-04-16,287.3138,
2010-04-19,288.4563,
2010-04-20,288.7199,
2010-04-21,288.9386,
2010-04-22,288.1793,
2010-04-23,287.8225,
2010-04-26,287.143,
2010-04-27,282.3392,
2010-04-28,283.9549,
2010-04-29,285.1158,
2010-04-30,283.635,
2010-05-04,282.4736,
2010-05-05,283.4103,
2010-05-06,276.6795,
2010-05-07,275.236,
2010-05-10,282.9092,
2010-05-11,282.659,
2010-05-12,284.4456,
2010-05-13,283.1285,
2010-05-14,280.5804,
2010-05-17,283.0302,
2010-05-18,281.7158,
2010-05-19,281.181,
2010-05-20,272.1621,
2010-05-21,273.2255,
2010-05-24,271.1358,
2010-05-25,268.5566,
2010-05-26,266.1947,
2010-05-27,271.3676,
2010-05-28,270.2149,
2010-05-31,270.2149,
2010-06-01,269.7073,
2010-06-02,274.2746,
2010-06-03,274.5546,
2010-06-04,267.5065,
2010-06-07,265.6694,
2010-06-08,269.5729,
2010-06-09,269.1542,
2010-06-10,273.2737,
2010-06-11,271.2012,
2010-06-17,275.7101,
2010-06-18,275.2477,
2010-06-21,274.3736,
2010-06-22,271.5222,
2010-06-23,272.2502,
2010-06-24,269.7964,
2010-06-25,265.6422,
2010-06-28,268.6573,
2010-06-29,264.6496,
2010-06-30,262.6394,
2010-07-01,263.1467,
2010-07-02,262.4041,
2010-07-05,262.4041,
2010-07-06,263.7792,
2010-07-07,268.927,
2010-07-08,272.8998,
2010-07-09,272.964,
2010-07-12,273.7674,
2010-07-13,275.8415,
2010-07-14,276.3705,
2010-07-15,276.8836,
2010-07-16,273.2445,
2010-07-19,273.2984,
2010-07-20,277.327,
2010-07-21,274.6491,
2010-07-22,277.0466,
2010-07-23,279.7283,
2010-07-26,280.964,
2010-07-27,282.0796,
2010-07-28,280.5803,
2010-07-29,277.5145,
2010-07-30,277.9729,
2010-08-02,281.2179,
2010-08-03,279.2813,
2010-08-04,280.0143,
2010-08-05,278.964,
2010-08-06,279.7204,
2010-08-09,281.1756,
2010-08-10,281.8801,
2010-08-11,276.8774,
2010-08-12,276.4331,
2010-08-13,276.3286,
2010-08-16,276.4129,
2010-08-17,278.5265,
2010-08-18,278.7766,
2010-08-19,275.6068,
