,CLOSE,MKT_CAP_ARD
2010-01-04,367.2577,
2010-01-05,365.1482,
2010-01-06,366.8946,
2010-01-07,368.2567,
2010-01-08,369.3534,
2010-01-11,370.8753,
2010-01-12,368.6175,
2010-01-13,373.3678,
2010-01-14,376.4098,
2010-01-15,374.8416,
2010-01-18,374.8416,
2010-01-19,382.4675,
2010-01-20,380.4454,
2010-01-21,372.1236,
2010-01-22,367.688,
2010-01-25,367.535,
2010-01-26,365.9142,
2010-01-27,368.0118,
2010-01-28,365.5114,
2010-01-29,363.7521,
2010-02-01,365.3759,
2010-02-02,372.3753,
2010-02-03,368.1415,
2010-02-04,358.413,
2010-02-05,357.6071,
2010-02-08,356.2324,
2010-02-09,358.4649,
2010-02-10,356.4965,
2010-02-11,358.8746,
2010-02-12,357.9407,
2010-02-22,364.7927,
2010-02-23,360.7508,
2010-02-24,363.4821,
2010-02-25,363.2644,
2010-02-26,363.7852,
2010-03-01,367.2616,
2010-03-02,368.713,
2010-03-03,367.0358,
2010-03-04,366.1843,
2010-03-05,370.5873,
2010-03-08,368.9903,
2010-03-09,368.5431,
2010-03-10,368.8786,
2010-03-11,370.4376,
2010-03-12,368.9678,
2010-03-15,370.7962,
2010-03-16,371.6039,
2010-03-17,372.0417,
2010-03-18,374.4078,
2010-03-19,374.4821,
2010-03-22,376.7062,
2010-03-23,378.1313,
2010-03-24,374.8724,
2010-03-25,372.9242,
2010-03-26,370.4507,
2010-03-29,373.7703,
2010-03-30,373.9474,
2010-03-31,372.6823,
2010-04-01,374.7467,
2010-04-02,374.7467,
2010-04-06,373.0592,
2010-04-07,371.4917,
2010-04-08,370.6799,
2010-04-09,372.173,
2010-04-12,371.4107,
2010-04-13,371.5133,
2010-04-14,369.9049,
2010-04-15,368.9523,
2010-04-16,366.8477,
2010-04-19,369.7305,
2010-04-20,370.6692,
2010-04-21,364.2047,
2010-04-22,359.4768,
2010-04-23,363.5019,
2010-04-26,359.4702,
2010-04-27,355.4611,
2010-04-28,357.8439,
2010-04-29,362.5917,
2010-04-30,358.1235,
2010-05-04,357.4376,
2010-05-05,358.1909,
2010-05-06,348.9114,
2010-05-07,344.1879,
2010-05-10,353.5148,
2010-05-11,352.8905,
2010-05-12,355.3491,
2010-05-13,351.9368,
2010-05-14,346.5248,
2010-05-17,346.8271,
2010-05-18,344.1364,
2010-05-19,343.6787,
2010-05-20,332.185,
2010-05-21,333.1118,
2010-05-24,332.3935,
2010-05-25,330.7353,
2010-05-26,328.8629,
2010-05-27,335.1873,
2010-05-28,333.0816,
2010-05-31,333.0816,
2010-06-01,329.6211,
2010-06-02,337.3666,
2010-06-03,338.8857,
2010-06-04,328.7929,
2010-06-07,328.6693,
2010-06-08,329.1488,
2010-06-09,327.3512,
2010-06-10,333.992,
2010-06-11,336.7007,
2010-06-17,344.3824,
2010-06-18,343.2343,
2010-06-21,341.79,
2010-06-22,338.7642,
2010-06-23,337.8996,
2010-06-24,335.202,
2010-06-25,335.7676,
2010-06-28,335.8757,
2010-06-29,329.5882,
2010-06-30,326.8772,
2010-07-01,324.1294,
2010-07-02,325.0675,
2010-07-05,325.0675,
2010-07-06,326.654,
2010-07-07,333.0935,
2010-07-08,336.1067,
2010-07-09,336.6365,
2010-07-12,336.0899,
2010-07-13,338.2895,
2010-07-14,338.4705,
2010-07-15,339.6741,
2010-07-16,332.1704,
2010-07-19,333.7126,
2010-07-20,332.9396,
2010-07-21,328.0283,
2010-07-22,329.675,
2010-07-23,329.9344,
2010-07-26,334.6931,
2010-07-27,334.7638,
2010-07-28,330.1939,
