,CLOSE,MKT_CAP_ARD
2010-01-04,247.1134,
2010-01-05,247.989,
2010-01-06,248.4948,
2010-01-07,251.7232,
2010-01-08,255.5561,
2010-01-11,258.5462,
2010-01-12,256.4752,
2010-01-13,257.6988,
2010-01-14,257.5465,
2010-01-15,254.3888,
2010-01-18,254.3888,
2010-01-19,256.628,
2010-01-20,253.4179,
2010-01-21,247.8235,
2010-01-22,244.0463,
2010-01-25,245.1745,
2010-01-26,244.8804,
2010-01-27,245.3441,
2010-01-28,242.3834,
2010-01-29,240.0574,
2010-02-01,243.5443,
2010-02-02,248.1856,
2010-02-03,247.2851,
2010-02-04,239.7181,
2010-02-05,238.37,
2010-02-08,235.7189,
2010-02-09,239.7876,
2010-02-10,239.1511,
2010-02-11,242.6809,
2010-02-12,240.9525,
2010-02-22,251.6694,
2010-02-23,248.5887,
2010-02-24,250.886,
2010-02-25,250.0986,
2010-02-26,251.0406,
2010-03-01,253.446,
2010-03-02,254.1363,
2010-03-03,254.5137,
2010-03-04,255.5948,
2010-03-05,259.4842,
2010-03-08,258.2473,
2010-03-09,260.3287,
2010-03-10,261.2717,
2010-03-11,262.0632,
2010-03-12,263.9296,
2010-03-15,264.5611,
2010-03-16,267.6808,
2010-03-17,268.6857,
2010-03-18,270.6249,
2010-03-19,269.65,
2010-03-22,270.2499,
2010-03-23,273.2207,
2010-03-24,271.6966,
2010-03-25,271.1399,
2010-03-26,271.9616,
2010-03-29,274.3236,
2010-03-30,274.8447,
2010-03-31,273.2466,
2010-04-01,274.845,
2010-04-02,274.845,
2010-04-06,276.9225,
2010-04-07,275.3107,
2010-04-08,276.2324,
2010-04-09,277.6647,
2010-04-12,278.5147,
2010-04-13,279.2333,
2010-04-14,282.7312,
2010-04-15,285.385,
2010-04-16,280.7104,
2010-04-19,280.727,
2010-04-20,282.7889,
2010-04-21,285.295,
2010-04-22,287.1953,
2010-04-23,289.2228,
2010-04-26,289.9204,
2010-04-27,282.4639,
2010-04-28,284.7963,
