,CLOSE,MKT_CAP_ARD
2010-01-04,376.4552,
2010-01-05,376.3251,
2010-01-06,373.0344,
2010-01-07,371.5953,
2010-01-08,374.5335,
2010-01-11,372.9296,
2010-01-12,368.6558,
2010-01-13,372.149,
2010-01-14,374.7228,
2010-01-15,369.9727,
2010-01-18,369.9727,
2010-01-19,375.7882,
2010-01-20,370.3198,
2010-01-21,366.6139,
2010-01-22,352.3453,
2010-01-25,354.8097,
2010-01-26,354.8127,
2010-01-27,356.9956,
2010-01-28,346.4968,
2010-01-29,339.3805,
2010-02-01,344.4007,
2010-02-02,347.1181,
2010-02-03,348.1345,
2010-02-04,338.1092,
2010-02-05,341.8152,
2010-02-08,340.0181,
2010-02-09,343.5129,
2010-02-10,342.4512,
2010-02-11,346.3397,
2010-02-12,346.5462,
2010-02-22,354.8353,
2010-02-23,349.9768,
2010-02-24,353.6648,
2010-02-25,352.8085,
2010-02-26,353.0403,
2010-03-01,358.2318,
2010-03-02,357.4521,
2010-03-03,357.6609,
2010-03-04,359.4199,
2010-03-05,364.4561,
2010-03-08,365.6638,
2010-03-09,367.0815,
2010-03-10,369.8928,
2010-03-11,371.4092,
2010-03-12,371.5794,
2010-03-15,370.5926,
2010-03-16,373.2201,
2010-03-17,374.6343,
2010-03-18,375.4472,
2010-03-19,372.4646,
2010-03-22,375.1779,
2010-03-23,378.697,
2010-03-24,376.5585,
2010-03-25,377.8066,
2010-03-26,377.3441,
2010-03-29,377.3899,
2010-03-30,379.2419,
2010-03-31,376.8869,
2010-04-01,377.2399,
2010-04-02,377.2399,
2010-04-06,381.5788,
2010-04-07,380.765,
2010-04-08,380.8781,
2010-04-09,384.0368,
2010-04-12,385.223,
2010-04-13,386.5138,
2010-04-14,392.9536,
2010-04-15,395.0135,
2010-04-16,389.5137,
2010-04-19,390.3636,
2010-04-20,392.0166,
2010-04-21,393.5826,
2010-04-22,394.4578,
2010-04-23,396.2829,
2010-04-26,395.6115,
2010-04-27,387.7905,
2010-04-28,388.5831,
2010-04-29,392.3379,
2010-04-30,383.5314,
2010-05-04,377.3376,
2010-05-05,375.1398,
2010-05-06,362.7785,
2010-05-07,354.3136,
2010-05-10,371.8477,
2010-05-11,370.1502,
2010-05-12,378.4568,
2010-05-13,373.2475,
2010-05-14,365.6767,
2010-05-17,366.5372,
2010-05-18,360.5977,
2010-05-19,358.1744,
2010-05-20,345.4411,
2010-05-21,348.9051,
2010-05-24,346.9345,
2010-05-25,346.3671,
2010-05-26,342.7133,
2010-05-27,354.827,
2010-05-28,351.7952,
2010-05-31,351.7952,
2010-06-01,348.5174,
2010-06-02,356.1192,
2010-06-03,360.1741,
2010-06-04,348.7763,
2010-06-07,342.2471,
2010-06-08,342.4147,
2010-06-09,339.403,
2010-06-10,348.0362,
2010-06-11,351.8917,
2010-06-17,363.5968,
2010-06-18,363.8464,
2010-06-21,360.9099,
2010-06-22,357.6098,
2010-06-23,356.0116,
2010-06-24,349.5499,
2010-06-25,347.6213,
2010-06-28,348.5368,
2010-06-29,335.1482,
2010-06-30,329.9271,
2010-07-01,328.8332,
2010-07-02,328.0713,
2010-07-05,328.0713,
2010-07-06,330.6967,
2010-07-07,342.7887,
2010-07-08,344.4579,
2010-07-09,346.391,
2010-07-12,348.823,
2010-07-13,353.6008,
2010-07-14,356.5582,
2010-07-15,356.9296,
2010-07-16,346.4698,
2010-07-19,350.0928,
2010-07-20,352.8638,
2010-07-21,347.9087,
2010-07-22,357.3318,
2010-07-23,359.3708,
2010-07-26,361.5145,
2010-07-27,362.0055,
2010-07-28,358.5713,
2010-07-29,355.2036,
2010-07-30,353.5668,
2010-08-02,360.7935,
2010-08-03,359.4279,
2010-08-04,361.6208,
2010-08-05,360.0951,
2010-08-06,358.9664,
2010-08-09,360.621,
2010-08-10,356.3026,
2010-08-11,347.017,
2010-08-12,341.1133,
2010-08-13,338.8354,
2010-08-16,340.2225,
2010-08-17,344.06,
2010-08-18,345.615,
2010-08-19,341.2141,
2010-08-20,341.0368,
2010-08-23,337.7395,
2010-08-24,332.2474,
2010-08-25,333.8269,
2010-08-26,330.1082,
2010-08-27,333.9989,
2010-08-30,330.0077,
2010-08-31,328.1222,
2010-09-01,336.876,
2010-09-02,339.914,
2010-09-03,345.6876,
2010-09-06,345.6876,
2010-09-07,342.7345,
2010-09-08,344.0621,
2010-09-09,344.6104,
2010-09-10,344.7721,
2010-09-13,351.8631,
2010-09-14,353.7454,
2010-09-15,355.8147,
2010-09-16,358.2634,
2010-09-17,359.9214,
2010-09-20,364.9764,
2010-09-21,364.4648,
2010-09-27,369.3892,
2010-09-28,369.7738,
2010-09-29,369.9028,
2010-09-30,367.8569,
2010-10-08,373.006,
2010-10-11,373.2554,
2010-10-12,375.9537,
2010-10-13,379.4161,
2010-10-14,379.8913,
2010-10-15,387.5915,
2010-10-18,389.4463,
2010-10-19,382.7231,
2010-10-20,385.7172,
2010-10-21,386.2576,
2010-10-22,388.3812,
2010-10-25,389.4223,
2010-10-26,389.9613,
2010-10-27,391.5856,
2010-10-28,391.8532,
2010-10-29,391.5768,
2010-11-01,392.9259,
2010-11-02,396.5436,
2010-11-03,398.3475,
2010-11-04,404.6143,
2010-11-05,404.7275,
2010-11-08,404.9093,
2010-11-09,403.6795,
2010-11-10,404.5991,
2010-11-11,397.4463,
2010-11-12,391.9066,
2010-11-15,390.2204,
2010-11-16,382.9409,
2010-11-17,382.7566,
2010-11-18,389.7139,
2010-11-19,390.6338,
2010-11-22,392.9299,
2010-11-23,387.2374,
2010-11-24,393.962,
2010-11-25,393.962,
2010-11-26,392.21,
2010-11-29,389.8777,
2010-11-30,384.4512,
2010-12-01,393.0652,
2010-12-02,398.0198,
2010-12-03,399.1156,
2010-12-06,399.4007,
2010-12-07,399.3695,
2010-12-08,402.8664,
2010-12-09,402.8472,
2010-12-10,404.8681,
2010-12-13,403.5735,
2010-12-14,403.8836,
2010-12-15,401.6598,
2010-12-16,402.6104,
2010-12-17,403.1048,
2010-12-20,403.3653,
2010-12-21,405.9311,
2010-12-22,405.7819,
2010-12-23,405.0998,
2010-12-24,405.0998,
2010-12-27,405.8522,
2010-12-28,405.7815,
2010-12-29,406.1894,
2010-12-30,405.3914,
2010-12-31,404.5489,
2011-01-04,409.9242,
2011-01-05,412.6787,
2011-01-06,416.3481,
2011-01-07,415.322,
2011-01-10,415.8922,
2011-01-11,416.6373,
2011-01-12,420.4008,
2011-01-13,419.8671,
2011-01-14,423.7558,
2011-01-17,423.7558,
2011-01-18,424.9843,
2011-01-19,422.1617,
2011-01-20,419.3333,
2011-01-21,416.4785,
2011-01-24,422.9522,
2011-01-25,424.558,
2011-01-26,426.2877,
2011-01-27,428.5837,
2011-01-28,418.8225,
2011-01-31,421.5634,
2011-02-01,429.0488,
2011-02-09,436.6941,
2011-02-10,434.4453,
2011-02-11,435.8962,
2011-02-14,436.5672,
2011-02-15,434.623,
2011-02-16,437.9434,
2011-02-17,438.642,
2011-02-18,438.3923,
2011-02-21,438.3923,
2011-02-22,427.0567,
2011-02-23,421.3493,
2011-02-24,422.7868,
2011-02-25,428.3955,
2011-02-28,429.0288,
2011-03-01,421.7804,
2011-03-02,423.8341,
2011-03-03,430.9389,
2011-03-04,428.0235,
2011-03-07,422.0218,
2011-03-08,424.6483,
2011-03-09,422.1441,
2011-03-10,413.542,
2011-03-11,416.1989,
2011-03-14,414.5721,
2011-03-15,408.123,
2011-03-16,397.0717,
2011-03-17,400.9215,
2011-03-18,401.3951,
2011-03-21,409.0245,
2011-03-22,407.9856,
2011-03-23,410.3887,
2011-03-24,417.0166,
2011-03-25,417.6424,
2011-03-28,415.3569,
2011-03-29,418.0134,
2011-03-30,418.693,
2011-03-31,417.6282,
2011-04-01,417.2746,
2011-04-06,417.8077,
2011-04-07,418.0556,
2011-04-08,415.5395,
2011-04-11,414.8818,
2011-04-12,411.1867,
2011-04-13,414.0282,
2011-04-14,412.7308,
2011-04-15,411.031,
2011-04-18,408.1426,
2011-04-19,409.6589,
2011-04-20,419.3373,
2011-04-21,423.3236,
2011-04-22,423.3236,
2011-04-25,424.2495,
2011-04-26,427.5128,
2011-04-27,429.5362,
2011-04-28,429.3914,
2011-04-29,429.8255,
2011-05-03,427.374,
2011-05-04,426.1784,
2011-05-05,424.0807,
2011-05-06,425.315,
2011-05-09,426.1962,
2011-05-10,429.8304,
2011-05-11,426.3695,
2011-05-12,429.021,
2011-05-13,423.7915,
2011-05-16,417.3558,
2011-05-17,416.6618,
2011-05-18,419.7654,
2011-05-19,420.337,
2011-05-20,417.3318,
2011-05-23,411.0127,
2011-05-24,409.3343,
2011-05-25,411.2114,
2011-05-26,413.4613,
2011-05-27,415.5548,
2011-05-30,415.5548,
2011-05-31,422.0368,
2011-06-01,412.8314,
2011-06-02,413.3254,
2011-06-03,407.5097,
2011-06-07,403.2185,
2011-06-08,399.9007,
2011-06-09,400.2162,
2011-06-10,394.2534,
2011-06-13,394.1933,
2011-06-14,399.3581,
2011-06-15,391.9963,
2011-06-16,390.7405,
2011-06-17,389.6799,
2011-06-20,391.0028,
2011-06-21,398.6085,
2011-06-22,395.3259,
2011-06-23,398.731,
2011-06-24,391.44,
2011-06-27,396.9204,
2011-06-28,402.0259,
2011-06-29,405.0585,
2011-06-30,410.9064,
2011-07-01,418.0102,
2011-07-04,418.0102,
2011-07-05,418.6606,
2011-07-06,420.7111,
2011-07-07,426.6436,
2011-07-08,424.6376,
2011-07-11,417.0134,
2011-07-12,413.1456,
2011-07-13,414.2361,
2011-07-14,410.3137,
2011-07-15,416.6758,
2011-07-18,415.3342,
2011-07-19,426.5323,
2011-07-20,424.698,
2011-07-21,426.9462,
2011-07-22,431.9272,
2011-07-25,431.2956,
2011-07-26,433.0992,
2011-07-27,420.3397,
2011-07-28,420.8525,
2011-07-29,417.3477,
2011-08-01,416.6855,
2011-08-02,407.2911,
2011-08-03,412.3267,
2011-08-04,393.8981,
2011-08-05,391.6128,
2011-08-08,368.9708,
2011-08-09,385.7573,
2011-08-10,370.1347,
2011-08-11,386.6735,
2011-08-12,388.9221,
2011-08-15,395.7143,
2011-08-16,391.6408,
2011-08-17,388.3255,
2011-08-18,367.8191,
2011-08-19,357.713,
2011-08-22,360.1659,
2011-08-23,374.3352,
2011-08-24,377.1654,
2011-08-25,371.3049,
2011-08-26,379.8537,
2011-08-29,390.4,
2011-08-30,391.3922,
2011-08-31,391.568,
2011-09-01,387.327,
2011-09-02,377.8257,
2011-09-05,377.8257,
2011-09-06,376.012,
2011-09-07,386.315,
2011-09-08,384.7892,
2011-09-09,375.9396,
2011-09-13,385.3129,
2011-09-14,391.5947,
2011-09-15,398.5234,
2011-09-16,402.4611,
2011-09-19,402.2594,
2011-09-20,400.8358,
2011-09-21,395.6801,
2011-09-22,383.06,
2011-09-23,387.0481,
2011-09-26,392.0155,
2011-09-27,396.3827,
2011-09-28,390.8072,
2011-09-29,389.2542,
2011-09-30,378.1903,
2011-10-10,404.303,
2011-10-11,406.8573,
2011-10-12,409.0333,
2011-10-13,413.0973,
2011-10-14,421.8764,
2011-10-17,414.4004,
2011-10-18,418.6108,
2011-10-19,409.38,
2011-10-20,407.356,
2011-10-21,412.7938,
2011-10-24,420.7962,
2011-10-25,413.5971,
2011-10-26,415.3151,
2011-10-27,428.309,
2011-10-28,429.5175,
2011-10-31,421.5489,
2011-11-01,409.5725,
2011-11-02,414.1865,
2011-11-03,424.2507,
2011-11-04,421.9059,
