,CLOSE,MKT_CAP_ARD
2010-01-04,205.355,
2010-01-05,206.432,
2010-01-06,209.57,
2010-01-07,208.611,
2010-01-08,210.7514,
2010-01-11,210.3437,
2010-01-12,206.2742,
2010-01-13,208.1458,
2010-01-14,206.1284,
2010-01-15,203.9264,
2010-01-18,203.9264,
2010-01-19,207.1623,
2010-01-20,204.0421,
2010-01-21,195.2112,
2010-01-22,190.8026,
2010-01-25,192.2855,
2010-01-26,190.2195,
2010-01-27,188.716,
2010-01-28,185.1689,
2010-01-29,182.5038,
2010-02-01,189.1888,
2010-02-02,189.9251,
2010-02-03,188.0917,
2010-02-04,180.8677,
2010-02-05,184.0128,
2010-02-08,181.1877,
2010-02-09,185.7282,
2010-02-10,184.357,
2010-02-11,187.2539,
2010-02-12,187.0974,
2010-02-22,194.017,
2010-02-23,190.6691,
2010-02-24,190.4925,
2010-02-25,190.1283,
2010-02-26,190.1981,
2010-03-01,193.1874,
2010-03-02,195.0963,
2010-03-03,197.0866,
2010-03-04,197.5818,
2010-03-05,200.2638,
2010-03-08,200.0006,
2010-03-09,198.9659,
2010-03-10,198.8617,
2010-03-11,199.7614,
2010-03-12,200.9663,
2010-03-15,200.4094,
2010-03-16,203.4722,
2010-03-17,204.824,
2010-03-18,203.3881,
2010-03-19,201.3809,
2010-03-22,203.9812,
2010-03-23,206.5428,
2010-03-24,205.9172,
2010-03-25,201.8601,
2010-03-26,203.4467,
2010-03-29,205.2482,
2010-03-30,205.621,
2010-03-31,204.6249,
2010-04-01,208.3072,
2010-04-02,208.3072,
2010-04-06,211.2732,
2010-04-07,209.7704,
2010-04-08,210.3384,
2010-04-09,210.952,
2010-04-12,209.9413,
2010-04-13,209.2451,
2010-04-14,210.6227,
2010-04-15,210.5646,
2010-04-16,206.8462,
2010-04-19,207.3505,
2010-04-20,207.7151,
2010-04-21,207.4271,
2010-04-22,209.0198,
2010-04-23,211.6936,
2010-04-26,211.8482,
2010-04-27,205.0356,
2010-04-28,207.0676,
2010-04-29,208.7329,
2010-04-30,205.4686,
2010-05-04,198.1531,
2010-05-05,196.5343,
2010-05-06,190.4736,
2010-05-07,187.9714,
2010-05-10,196.9795,
2010-05-11,194.7893,
2010-05-12,198.4903,
2010-05-13,195.9811,
2010-05-14,191.0336,
2010-05-17,190.7396,
2010-05-18,187.9349,
2010-05-19,187.2247,
2010-05-20,178.9609,
2010-05-21,183.3969,
2010-05-24,180.3663,
2010-05-25,183.1909,
2010-05-26,181.7418,
2010-05-27,188.8432,
2010-05-28,185.64,
2010-05-31,185.64,
2010-06-01,179.8082,
2010-06-02,185.2652,
2010-06-03,183.156,
2010-06-04,175.9566,
2010-06-07,173.0321,
2010-06-08,177.3389,
2010-06-09,176.8278,
2010-06-10,183.0362,
2010-06-11,185.2031,
2010-06-17,187.3667,
2010-06-18,188.3118,
2010-06-21,189.1387,
2010-06-22,184.9082,
2010-06-23,185.042,
2010-06-24,180.6231,
2010-06-25,183.1626,
2010-06-28,181.1353,
2010-06-29,174.7338,
2010-06-30,172.4648,
2010-07-01,171.31,
2010-07-02,170.7251,
2010-07-05,170.7251,
2010-07-06,170.8261,
2010-07-07,177.5064,
2010-07-08,180.1728,
2010-07-09,184.4412,
2010-07-12,182.5024,
2010-07-13,186.5167,
2010-07-14,186.6361,
2010-07-15,186.4399,
2010-07-16,181.0066,
2010-07-19,181.3142,
2010-07-20,186.576,
2010-07-21,185.7453,
2010-07-22,190.0871,
2010-07-23,193.8366,
2010-07-26,194.8465,
2010-07-27,193.6072,
2010-07-28,192.6044,
2010-07-29,192.6112,
2010-07-30,193.563,
2010-08-02,198.6926,
2010-08-03,195.3751,
2010-08-04,196.8364,
2010-08-05,197.5012,
2010-08-06,196.8665,
2010-08-09,197.7281,
2010-08-10,195.8063,
2010-08-11,189.2417,
2010-08-12,190.1158,
2010-08-13,189.3933,
2010-08-16,190.2401,
2010-08-17,194.6422,
2010-08-18,195.3543,
2010-08-19,191.14,
2010-08-20,190.4543,
2010-08-23,188.4751,
2010-08-24,184.0936,
2010-08-25,184.6059,
2010-08-26,184.6497,
2010-08-27,190.0671,
2010-08-30,187.4135,
2010-08-31,188.0532,
2010-09-01,193.4774,
2010-09-02,195.5521,
2010-09-03,197.986,
2010-09-06,197.986,
2010-09-07,196.3217,
2010-09-08,197.6212,
2010-09-09,197.064,
2010-09-10,198.3977,
2010-09-13,201.4661,
2010-09-14,201.317,
2010-09-15,201.1942,
2010-09-16,201.9895,
2010-09-17,202.0455,
2010-09-20,203.2779,
2010-09-21,202.4109,
2010-09-27,204.5332,
2010-09-28,204.5948,
2010-09-29,202.8291,
2010-09-30,202.2063,
2010-10-08,211.2708,
2010-10-11,210.9682,
2010-10-12,211.5179,
2010-10-13,215.0532,
2010-10-14,213.1757,
2010-10-15,213.8924,
2010-10-18,214.4636,
2010-10-19,209.6317,
2010-10-20,213.7618,
2010-10-21,213.8602,
2010-10-22,212.5407,
2010-10-25,216.2231,
2010-10-26,215.7337,
2010-10-27,213.8903,
2010-10-28,213.6539,
2010-10-29,215.4993,
2010-11-01,215.4955,
2010-11-02,217.4576,
2010-11-03,216.8814,
2010-11-04,224.066,
2010-11-05,224.8136,
2010-11-08,225.3614,
2010-11-09,221.7246,
2010-11-10,222.7516,
2010-11-11,224.7678,
2010-11-12,219.8455,
2010-11-15,217.9622,
2010-11-16,213.2707,
2010-11-17,213.1164,
2010-11-18,217.2073,
2010-11-19,218.723,
2010-11-22,219.0829,
2010-11-23,215.303,
2010-11-24,219.1971,
2010-11-25,219.1971,
2010-11-26,216.4917,
2010-11-29,217.505,
2010-11-30,217.511,
2010-12-01,223.537,
2010-12-02,226.8887,
2010-12-03,228.8438,
2010-12-06,228.8897,
2010-12-07,229.0511,
2010-12-08,227.0596,
2010-12-09,227.9646,
2010-12-10,229.8679,
2010-12-13,231.0738,
2010-12-14,231.1551,
2010-12-15,229.5725,
2010-12-16,232.0126,
2010-12-17,233.705,
2010-12-20,234.691,
2010-12-21,237.0815,
2010-12-22,237.0681,
2010-12-23,237.9931,
2010-12-24,237.9931,
2010-12-27,237.9329,
2010-12-28,238.6189,
2010-12-29,239.5082,
2010-12-30,239.424,
2010-12-31,239.6132,
2011-01-04,239.9947,
2011-01-05,240.0073,
2011-01-06,238.9946,
2011-01-07,238.7653,
2011-01-10,239.0574,
2011-01-11,240.8703,
2011-01-12,243.028,
2011-01-13,241.0553,
2011-01-14,241.3377,
2011-01-17,241.3377,
2011-01-18,242.869,
2011-01-19,237.4205,
2011-01-20,233.8541,
2011-01-21,233.3198,
2011-01-24,235.6947,
2011-01-25,235.9122,
2011-01-26,240.7717,
2011-01-27,239.046,
2011-01-28,235.5067,
2011-01-31,239.2617,
2011-02-01,246.0196,
2011-02-09,246.061,
2011-02-10,246.6941,
2011-02-11,247.8308,
2011-02-14,250.3937,
2011-02-15,247.7635,
2011-02-16,250.7147,
2011-02-17,252.854,
2011-02-18,250.2664,
2011-02-21,250.2664,
2011-02-22,242.3491,
2011-02-23,240.7286,
2011-02-24,239.3469,
2011-02-25,242.7064,
2011-02-28,245.2321,
2011-03-01,239.6005,
2011-03-02,240.1552,
2011-03-03,244.8651,
2011-03-04,243.1014,
2011-03-07,238.8495,
2011-03-08,241.233,
2011-03-09,237.6432,
2011-03-10,232.3993,
2011-03-11,235.5661,
2011-03-14,235.0277,
2011-03-15,234.6818,
2011-03-16,230.0902,
2011-03-17,234.0732,
2011-03-18,235.3317,
2011-03-21,239.4093,
2011-03-22,238.9166,
2011-03-23,242.2854,
2011-03-24,243.3366,
2011-03-25,244.6203,
2011-03-28,243.4551,
2011-03-29,245.8792,
2011-03-30,248.3353,
2011-03-31,249.3608,
2011-04-01,250.2012,
2011-04-06,252.6981,
2011-04-07,252.2348,
2011-04-08,250.6625,
2011-04-11,247.582,
2011-04-12,244.2506,
2011-04-13,242.7288,
2011-04-14,243.4458,
2011-04-15,245.0083,
2011-04-18,241.9193,
2011-04-19,246.1825,
2011-04-20,249.186,
2011-04-21,251.8875,
2011-04-22,251.8875,
2011-04-25,250.2123,
2011-04-26,252.825,
2011-04-27,253.25,
2011-04-28,253.9108,
2011-04-29,254.4841,
2011-05-03,250.4042,
2011-05-04,246.1575,
2011-05-05,243.0991,
2011-05-06,244.8812,
2011-05-09,248.6607,
2011-05-10,250.398,
2011-05-11,243.5536,
2011-05-12,243.6272,
2011-05-13,240.3201,
2011-05-16,239.4255,
2011-05-17,236.8424,
2011-05-18,241.8186,
2011-05-19,241.9404,
2011-05-20,239.5531,
2011-05-23,237.186,
2011-05-24,238.2987,
2011-05-25,241.6182,
2011-05-26,242.0149,
2011-05-27,244.5009,
2011-05-30,244.5009,
2011-05-31,247.0492,
2011-06-01,239.4903,
2011-06-02,239.7997,
2011-06-03,236.6818,
2011-06-07,235.2112,
2011-06-08,232.9618,
2011-06-09,236.6461,
2011-06-10,233.6875,
2011-06-13,232.3967,
2011-06-14,236.7798,
2011-06-15,231.3507,
2011-06-16,229.1772,
2011-06-17,229.0967,
2011-06-20,230.9336,
2011-06-21,236.9129,
2011-06-22,236.0163,
2011-06-23,235.8319,
2011-06-24,234.4798,
2011-06-27,234.8217,
2011-06-28,239.0056,
2011-06-29,242.6852,
2011-06-30,245.9348,
2011-07-01,248.1698,
2011-07-04,248.1698,
2011-07-05,248.445,
2011-07-06,249.3529,
2011-07-07,253.0536,
2011-07-08,251.3425,
2011-07-11,246.1828,
2011-07-12,245.3452,
2011-07-13,247.3778,
2011-07-14,245.1353,
2011-07-15,247.4872,
2011-07-18,244.5798,
2011-07-19,247.9972,
2011-07-20,247.9441,
2011-07-21,250.817,
2011-07-22,249.7307,
2011-07-25,249.1125,
2011-07-26,246.5061,
2011-07-27,240.8288,
2011-07-28,240.3218,
2011-07-29,237.5888,
2011-08-01,236.7691,
2011-08-02,229.8309,
2011-08-03,230.8234,
2011-08-04,215.4976,
2011-08-05,215.0056,
2011-08-08,199.3528,
2011-08-09,211.1322,
2011-08-10,204.1792,
2011-08-11,214.1581,
2011-08-12,215.4987,
2011-08-15,218.8025,
2011-08-16,215.5645,
2011-08-17,216.096,
2011-08-18,203.5642,
2011-08-19,200.6381,
2011-08-22,200.5771,
2011-08-23,207.4464,
2011-08-24,210.2127,
2011-08-25,208.1648,
2011-08-26,212.5232,
2011-08-29,218.8543,
2011-08-30,220.6828,
2011-08-31,221.2474,
