,CLOSE,MKT_CAP_ARD
2010-01-04,93.79,
2010-01-05,94.04,
2010-01-06,93.84,
2010-01-07,94.95,
2010-01-08,93.72,
2010-01-11,94.21,
2010-01-12,92.45,
2010-01-13,94.4,
2010-01-14,94.04,
2010-01-15,92.96,
2010-01-18,92.96,
2010-01-19,94.99,
2010-01-20,93.5,
2010-01-21,90.45,
2010-01-22,88.2,
2010-01-25,89.09,
2010-01-26,88.33,
2010-01-27,89.19,
2010-01-28,88.59,
2010-01-29,88.13,
2010-02-01,90.04,
2010-02-02,91.72,
2010-02-03,90.13,
2010-02-04,86.41,
2010-02-05,88.34,
2010-02-08,86.11,
2010-02-09,86.21,
2010-02-10,86.25,
2010-02-11,86.95,
2010-02-12,87.39,
2010-02-22,92.92,
2010-02-23,91.78,
2010-02-24,92.59,
2010-02-25,93.01,
2010-02-26,93.0,
2010-03-01,93.66,
2010-03-02,93.75,
2010-03-03,93.37,
2010-03-04,93.93,
2010-03-05,96.52,
2010-03-08,97.37,
2010-03-09,97.97,
2010-03-10,98.6,
2010-03-11,99.02,
2010-03-12,100.1,
2010-03-15,99.85,
2010-03-16,102.39,
2010-03-17,104.16,
2010-03-18,103.57,
2010-03-19,102.47,
2010-03-22,103.78,
2010-03-23,103.54,
2010-03-24,104.0,
2010-03-25,104.36,
2010-03-26,103.98,
2010-03-29,104.15,
2010-03-30,104.19,
2010-03-31,103.05,
2010-04-01,103.59,
2010-04-02,103.59,
2010-04-06,107.78,
2010-04-07,104.9,
2010-04-08,105.04,
2010-04-09,106.88,
2010-04-12,105.87,
2010-04-13,108.56,
2010-04-14,108.41,
2010-04-15,105.45,
2010-04-16,102.8,
2010-04-19,103.49,
2010-04-20,105.28,
2010-04-21,107.29,
2010-04-22,109.29,
2010-04-23,110.57,
2010-04-26,111.63,
2010-04-27,107.72,
2010-04-28,108.22,
2010-04-29,113.48,
2010-04-30,109.69,
2010-05-04,110.94,
2010-05-05,109.08,
2010-05-06,104.85,
2010-05-07,103.22,
2010-05-10,110.51,
2010-05-11,110.41,
2010-05-12,111.71,
2010-05-13,109.88,
2010-05-14,106.09,
2010-05-17,106.39,
2010-05-18,103.31,
2010-05-19,102.52,
2010-05-20,97.99,
2010-05-21,101.72,
2010-05-24,99.24,
2010-05-25,100.58,
2010-05-26,99.91,
2010-05-27,105.58,
2010-05-28,103.68,
2010-05-31,103.68,
2010-06-01,102.06,
2010-06-02,104.33,
2010-06-03,103.7,
2010-06-04,97.77,
2010-06-07,97.14,
2010-06-08,99.06,
2010-06-09,99.48,
2010-06-10,104.27,
2010-06-11,105.08,
2010-06-17,108.24,
2010-06-18,107.69,
2010-06-21,107.11,
2010-06-22,103.89,
2010-06-23,104.46,
2010-06-24,101.64,
2010-06-25,104.76,
2010-06-28,103.13,
2010-06-29,99.56,
2010-06-30,98.31,
2010-07-01,98.29,
2010-07-02,96.18,
2010-07-05,96.18,
2010-07-06,94.57,
2010-07-07,99.37,
2010-07-08,100.47,
2010-07-09,101.98,
2010-07-12,102.35,
2010-07-13,104.78,
2010-07-14,104.29,
2010-07-15,104.19,
2010-07-16,100.6,
2010-07-19,102.24,
2010-07-20,104.23,
2010-07-21,101.79,
2010-07-22,106.03,
2010-07-23,107.3,
2010-07-26,110.01,
2010-07-27,109.45,
2010-07-28,109.47,
2010-07-29,108.19,
2010-07-30,108.91,
2010-08-02,112.87,
2010-08-03,111.65,
2010-08-04,112.46,
2010-08-05,111.08,
2010-08-06,110.49,
2010-08-09,111.91,
2010-08-10,110.96,
2010-08-11,108.23,
2010-08-12,106.76,
2010-08-13,106.74,
2010-08-16,106.74,
2010-08-17,109.72,
2010-08-18,109.68,
2010-08-19,106.75,
2010-08-20,106.45,
2010-08-23,105.97,
2010-08-24,105.14,
2010-08-25,106.95,
2010-08-26,106.17,
2010-08-27,108.01,
2010-08-30,106.92,
2010-08-31,107.86,
2010-09-01,111.59,
2010-09-02,113.2,
2010-09-03,114.78,
2010-09-06,114.78,
2010-09-07,112.91,
2010-09-08,113.31,
2010-09-09,111.98,
2010-09-10,112.67,
2010-09-13,114.02,
2010-09-14,113.75,
2010-09-15,114.94,
2010-09-16,114.02,
2010-09-17,114.33,
2010-09-20,117.03,
2010-09-21,114.93,
2010-09-27,112.44,
2010-09-28,112.94,
2010-09-29,111.51,
2010-09-30,111.55,
2010-10-08,114.82,
2010-10-11,114.84,
2010-10-12,115.99,
2010-10-13,117.22,
2010-10-14,116.73,
2010-10-15,116.57,
2010-10-18,117.84,
2010-10-19,116.16,
2010-10-20,118.75,
2010-10-21,118.46,
2010-10-22,118.1,
2010-10-25,118.47,
2010-10-26,117.66,
2010-10-27,116.58,
2010-10-28,115.88,
2010-10-29,116.15,
2010-11-01,117.56,
2010-11-02,118.39,
2010-11-03,118.13,
2010-11-04,121.42,
2010-11-05,122.78,
2010-11-08,122.32,
2010-11-09,117.5,
