,CLOSE,MKT_CAP_ARD
2010-01-04,116.4204,
2010-01-05,116.6422,
2010-01-06,113.1655,
2010-01-07,112.207,
2010-01-08,111.6962,
2010-01-11,111.6646,
2010-01-12,111.2131,
2010-01-13,110.7818,
2010-01-14,108.8018,
2010-01-15,107.2639,
2010-01-18,107.2639,
2010-01-19,108.8229,
2010-01-20,107.2775,
2010-01-21,106.5151,
2010-01-22,105.1359,
2010-01-25,106.2527,
2010-01-26,104.9634,
2010-01-27,105.3353,
2010-01-28,104.3505,
2010-01-29,103.9541,
2010-02-01,104.4054,
2010-02-02,105.7058,
2010-02-03,104.8486,
2010-02-04,102.3601,
2010-02-05,102.8706,
2010-02-08,102.0835,
2010-02-09,103.4125,
2010-02-10,102.9578,
2010-02-11,103.4354,
2010-02-12,102.9044,
2010-02-22,103.482,
2010-02-23,102.502,
2010-02-24,102.8724,
2010-02-25,102.4287,
2010-02-26,102.6071,
2010-03-01,103.2418,
2010-03-02,103.1502,
2010-03-03,103.0011,
2010-03-04,103.2588,
2010-03-05,103.3228,
2010-03-08,104.4692,
2010-03-09,105.758,
2010-03-10,105.6303,
2010-03-11,106.0905,
2010-03-12,105.9025,
2010-03-15,106.435,
2010-03-16,106.6511,
2010-03-17,107.3064,
2010-03-18,107.9581,
2010-03-19,108.4267,
2010-03-22,109.1204,
2010-03-23,110.1099,
2010-03-24,108.9511,
2010-03-25,108.0084,
2010-03-26,108.2462,
2010-03-29,109.0479,
2010-03-30,108.6584,
2010-03-31,108.1494,
2010-04-01,109.1872,
2010-04-02,109.1872,
2010-04-06,109.5939,
2010-04-07,107.0314,
2010-04-08,107.975,
2010-04-09,108.9393,
2010-04-12,108.7609,
2010-04-13,108.5257,
2010-04-14,108.4038,
2010-04-15,108.1728,
2010-04-16,107.2885,
2010-04-19,108.4675,
2010-04-20,109.1761,
2010-04-21,108.179,
2010-04-22,107.8073,
2010-04-23,107.585,
2010-04-26,107.3006,
2010-04-27,106.045,
2010-04-28,106.5181,
2010-04-29,107.41,
2010-04-30,106.6403,
2010-05-04,106.017,
2010-05-05,105.8904,
2010-05-06,103.3367,
2010-05-07,102.6819,
2010-05-10,105.1433,
2010-05-11,104.9998,
2010-05-12,106.0845,
2010-05-13,106.272,
2010-05-14,105.0662,
2010-05-17,106.2839,
2010-05-18,105.7372,
2010-05-19,105.4788,
2010-05-20,102.6325,
2010-05-21,102.9219,
2010-05-24,101.9117,
2010-05-25,102.1395,
2010-05-26,100.9606,
2010-05-27,103.395,
2010-05-28,102.4431,
2010-05-31,102.4431,
2010-06-01,101.6037,
2010-06-02,103.671,
2010-06-03,103.8954,
2010-06-04,101.5582,
2010-06-07,101.4689,
2010-06-08,103.5719,
2010-06-09,103.5245,
2010-06-10,105.7132,
2010-06-11,105.969,
2010-06-17,107.2329,
2010-06-18,106.8881,
2010-06-21,106.7636,
2010-06-22,106.1623,
2010-06-23,106.8229,
2010-06-24,105.2328,
2010-06-25,104.0037,
2010-06-28,105.0256,
2010-06-29,103.408,
2010-06-30,102.0426,
2010-07-01,102.4285,
2010-07-02,102.636,
2010-07-05,102.636,
2010-07-06,102.8137,
2010-07-07,103.1928,
2010-07-08,104.3105,
2010-07-09,104.5437,
2010-07-12,104.4913,
2010-07-13,105.384,
2010-07-14,105.512,
2010-07-15,105.5742,
2010-07-16,104.3206,
2010-07-19,104.9023,
2010-07-20,105.2501,
2010-07-21,105.0194,
2010-07-22,107.0939,
2010-07-23,108.3453,
2010-07-26,109.9815,
2010-07-27,110.3811,
2010-07-28,110.783,
2010-07-29,110.2139,
2010-07-30,110.1304,
2010-08-02,112.3377,
2010-08-03,112.2753,
2010-08-04,112.2069,
2010-08-05,112.4921,
2010-08-06,112.0173,
2010-08-09,113.1887,
2010-08-10,113.635,
2010-08-11,111.7307,
2010-08-12,112.7656,
2010-08-13,112.6589,
2010-08-16,112.3296,
2010-08-17,113.6867,
2010-08-18,114.4476,
2010-08-19,112.829,
2010-08-20,111.3397,
2010-08-23,111.2362,
2010-08-24,111.5413,
2010-08-25,112.2543,
2010-08-26,111.7988,
2010-08-27,112.7136,
2010-08-30,111.3359,
2010-08-31,112.6085,
2010-09-01,114.4352,
2010-09-02,114.6919,
2010-09-03,114.9925,
2010-09-06,114.9925,
2010-09-07,114.5991,
2010-09-08,115.2399,
2010-09-09,116.615,
2010-09-10,116.8045,
2010-09-13,117.242,
2010-09-14,117.3356,
2010-09-15,117.9502,
2010-09-16,118.2265,
2010-09-17,118.8965,
2010-09-20,120.7394,
2010-09-21,121.1126,
2010-09-27,122.5221,
2010-09-28,122.585,
2010-09-29,121.9541,
2010-09-30,121.5367,
2010-10-08,120.8538,
2010-10-11,121.2358,
2010-10-12,121.1904,
2010-10-13,121.1093,
2010-10-14,121.5074,
2010-10-15,120.9388,
2010-10-18,121.7231,
2010-10-19,120.1914,
2010-10-20,121.9088,
2010-10-21,121.3304,
2010-10-22,120.9553,
2010-10-25,121.402,
2010-10-26,121.5086,
2010-10-27,121.0119,
2010-10-28,121.3268,
2010-10-29,121.3959,
2010-11-01,121.8174,
2010-11-02,122.8551,
2010-11-03,123.5031,
2010-11-04,125.2382,
2010-11-05,124.4946,
2010-11-08,124.135,
2010-11-09,123.9575,
2010-11-10,123.8652,
2010-11-11,122.9888,
2010-11-12,121.9127,
2010-11-15,122.2231,
2010-11-16,120.2488,
2010-11-17,120.0404,
2010-11-18,121.8536,
2010-11-19,121.8571,
2010-11-22,121.4829,
2010-11-23,120.4466,
2010-11-24,121.0941,
2010-11-25,121.0941,
2010-11-26,120.6718,
2010-11-29,119.5212,
2010-11-30,119.6586,
2010-12-01,121.3863,
2010-12-02,122.6587,
2010-12-03,122.7518,
2010-12-06,122.7125,
2010-12-07,123.1803,
2010-12-08,123.1785,
2010-12-09,124.4809,
2010-12-10,125.2534,
2010-12-13,125.3363,
2010-12-14,127.3306,
2010-12-15,126.5438,
2010-12-16,126.7976,
2010-12-17,126.3766,
2010-12-20,126.9951,
2010-12-21,127.2449,
2010-12-22,127.4785,
2010-12-23,127.8084,
2010-12-24,127.8084,
2010-12-27,128.1773,
2010-12-28,128.1223,
2010-12-29,128.2396,
2010-12-30,128.326,
2010-12-31,128.7364,
2011-01-04,131.6584,
2011-01-05,132.4616,
2011-01-06,128.786,
2011-01-07,127.6927,
2011-01-10,126.4275,
2011-01-11,124.5058,
2011-01-12,125.0774,
2011-01-13,125.6035,
2011-01-14,125.7052,
2011-01-17,125.7052,
2011-01-18,124.0922,
2011-01-19,123.9643,
2011-01-20,123.7345,
2011-01-21,124.2729,
2011-01-24,125.0587,
2011-01-25,126.3442,
2011-01-26,127.504,
2011-01-27,126.3383,
2011-01-28,123.6153,
2011-01-31,123.7903,
2011-02-01,125.3259,
2011-02-09,126.598,
2011-02-10,127.2778,
2011-02-11,128.1348,
2011-02-14,127.5122,
2011-02-15,127.1813,
2011-02-16,126.7471,
2011-02-17,127.0707,
2011-02-18,127.2135,
2011-02-21,127.2135,
2011-02-22,125.1158,
2011-02-23,123.8316,
