,CLOSE,MKT_CAP_ARD
2010-01-04,158.3297,
2010-01-05,156.5058,
2010-01-06,157.2798,
2010-01-07,156.4289,
2010-01-08,156.2336,
2010-01-11,157.946,
2010-01-12,157.3623,
2010-01-13,158.7838,
2010-01-14,158.2923,
2010-01-15,157.2729,
2010-01-18,157.2729,
2010-01-19,159.1065,
2010-01-20,157.4332,
2010-01-21,155.2092,
2010-01-22,151.8354,
2010-01-25,152.6945,
2010-01-26,153.2634,
2010-01-27,152.4736,
2010-01-28,150.8238,
2010-01-29,149.9258,
2010-02-01,151.036,
2010-02-02,152.2861,
2010-02-03,151.1382,
2010-02-04,147.1466,
2010-02-05,146.7511,
2010-02-08,145.1224,
2010-02-09,146.5084,
2010-02-10,145.6841,
2010-02-11,146.454,
2010-02-12,145.4768,
2010-02-22,149.7905,
2010-02-23,148.5758,
2010-02-24,148.6749,
2010-02-25,148.2372,
2010-02-26,147.1399,
2010-03-01,149.0919,
2010-03-02,149.7842,
2010-03-03,149.6362,
2010-03-04,149.7714,
2010-03-05,151.4194,
2010-03-08,151.3077,
2010-03-09,150.8908,
2010-03-10,151.0683,
2010-03-11,151.4381,
2010-03-12,150.4005,
2010-03-15,151.1158,
2010-03-16,152.7057,
2010-03-17,153.2372,
2010-03-18,152.5709,
2010-03-19,152.2578,
2010-03-22,151.3057,
2010-03-23,151.7799,
2010-03-24,150.2894,
2010-03-25,149.2654,
2010-03-26,149.6459,
2010-03-29,151.4145,
2010-03-30,151.1735,
2010-03-31,150.7045,
2010-04-01,152.6614,
2010-04-02,152.6614,
2010-04-06,154.8547,
2010-04-07,153.4204,
2010-04-08,152.5301,
2010-04-09,153.3741,
2010-04-12,153.9085,
2010-04-13,153.3575,
2010-04-14,153.4053,
2010-04-15,153.131,
2010-04-16,151.4795,
2010-04-19,151.7398,
2010-04-20,153.4659,
2010-04-21,153.6998,
2010-04-22,154.2415,
2010-04-23,155.5337,
2010-04-26,154.9318,
2010-04-27,152.1782,
2010-04-28,153.5964,
2010-04-29,153.6493,
2010-04-30,154.3696,
2010-05-04,153.5733,
2010-05-05,152.4435,
2010-05-06,148.3271,
2010-05-07,147.446,
2010-05-10,151.8359,
2010-05-11,152.1262,
2010-05-12,153.4209,
2010-05-13,152.5811,
2010-05-14,151.3122,
2010-05-17,151.4515,
2010-05-18,149.9523,
2010-05-19,148.5208,
2010-05-20,143.7516,
2010-05-21,144.5496,
2010-05-24,143.2684,
2010-05-25,142.2792,
2010-05-26,142.0534,
2010-05-27,144.9571,
2010-05-28,144.9177,
2010-05-31,144.9177,
2010-06-01,141.6539,
2010-06-02,144.6557,
2010-06-03,146.0583,
2010-06-04,141.7378,
2010-06-07,142.4725,
2010-06-08,144.3286,
2010-06-09,143.3805,
2010-06-10,147.2174,
2010-06-11,147.1875,
2010-06-17,152.7976,
2010-06-18,152.9919,
2010-06-21,151.8069,
2010-06-22,148.0577,
2010-06-23,146.4905,
2010-06-24,146.0235,
2010-06-25,146.4673,
2010-06-28,147.4715,
2010-06-29,144.4593,
2010-06-30,143.4359,
2010-07-01,142.9703,
2010-07-02,143.04,
2010-07-05,143.04,
2010-07-06,144.7105,
2010-07-07,149.2237,
2010-07-08,150.3719,
2010-07-09,151.3169,
2010-07-12,151.8149,
2010-07-13,152.3334,
2010-07-14,152.425,
2010-07-15,153.375,
2010-07-16,150.8555,
2010-07-19,153.0855,
2010-07-20,154.3699,
2010-07-21,152.1857,
2010-07-22,154.679,
2010-07-23,154.8169,
2010-07-26,155.8415,
2010-07-27,158.348,
2010-07-28,157.4854,
2010-07-29,154.9494,
2010-07-30,153.9749,
2010-08-02,157.0409,
2010-08-03,156.5929,
2010-08-04,156.7318,
2010-08-05,156.8032,
2010-08-06,156.9663,
2010-08-09,157.614,
2010-08-10,158.2888,
2010-08-11,155.1079,
2010-08-12,154.5025,
2010-08-13,155.0024,
2010-08-16,155.0753,
2010-08-17,156.4719,
2010-08-18,155.6581,
2010-08-19,153.4883,
2010-08-20,153.8087,
2010-08-23,154.7035,
2010-08-24,155.1478,
2010-08-25,154.7119,
2010-08-26,154.0008,
2010-08-27,156.9213,
2010-08-30,154.7123,
2010-08-31,155.3398,
2010-09-01,158.7715,
2010-09-02,158.515,
2010-09-03,159.4757,
2010-09-06,159.4757,
2010-09-07,158.5917,
2010-09-08,157.8672,
2010-09-09,159.0308,
2010-09-10,158.2912,
2010-09-13,158.9118,
2010-09-14,158.6225,
2010-09-15,157.7954,
2010-09-16,157.0758,
2010-09-17,156.8808,
2010-09-20,158.9176,
2010-09-21,158.106,
2010-09-27,160.2146,
2010-09-28,160.5324,
2010-09-29,159.9585,
2010-09-30,159.366,
