,CLOSE,MKT_CAP_ARD
2010-01-04,197.7855,
2010-01-05,201.1468,
2010-01-06,201.9998,
2010-01-07,206.211,
2010-01-08,205.0881,
2010-01-11,205.146,
2010-01-12,201.8763,
2010-01-13,204.2434,
2010-01-14,205.5374,
2010-01-15,201.3488,
2010-01-18,201.3488,
2010-01-19,203.6392,
2010-01-20,203.367,
2010-01-21,197.3512,
2010-01-22,190.9345,
2010-01-25,191.9408,
2010-01-26,188.7028,
2010-01-27,193.0674,
2010-01-28,192.2903,
2010-01-29,190.9164,
2010-02-01,193.9774,
2010-02-02,196.1466,
2010-02-03,193.5109,
2010-02-04,185.4833,
2010-02-05,187.7372,
2010-02-08,183.5974,
2010-02-09,185.6152,
2010-02-10,187.1475,
2010-02-11,187.5553,
2010-02-12,187.0225,
2010-02-22,196.8178,
2010-02-23,193.3079,
2010-02-24,196.6754,
2010-02-25,196.0321,
2010-02-26,197.4268,
2010-03-01,198.1625,
2010-03-02,198.73,
2010-03-03,198.8334,
2010-03-04,200.6532,
2010-03-05,204.7309,
2010-03-08,205.0394,
2010-03-09,205.6026,
2010-03-10,207.9135,
2010-03-11,209.8033,
2010-03-12,208.9367,
2010-03-15,208.784,
2010-03-16,211.4315,
2010-03-17,213.74,
2010-03-18,212.7641,
2010-03-19,211.1866,
2010-03-22,212.4062,
2010-03-23,214.0352,
2010-03-24,214.3995,
2010-03-25,215.3204,
2010-03-26,215.5503,
2010-03-29,215.9579,
2010-03-30,214.3945,
2010-03-31,214.7536,
2010-04-01,216.7355,
2010-04-02,216.7355,
2010-04-06,221.1912,
2010-04-07,219.9984,
2010-04-08,221.8298,
2010-04-09,222.8175,
2010-04-12,223.8348,
2010-04-13,223.8329,
2010-04-14,229.7477,
2010-04-15,228.6381,
2010-04-16,219.9263,
2010-04-19,222.3482,
2010-04-20,225.262,
2010-04-21,224.0465,
2010-04-22,225.3293,
2010-04-23,226.2196,
2010-04-26,222.3135,
2010-04-27,214.8725,
2010-04-28,217.6425,
2010-04-29,223.0588,
2010-04-30,217.5386,
2010-05-04,215.526,
2010-05-05,214.5116,
2010-05-06,205.6891,
2010-05-07,203.158,
2010-05-10,214.4978,
2010-05-11,213.4716,
2010-05-12,215.8433,
2010-05-13,212.246,
2010-05-14,206.4731,
2010-05-17,206.4595,
2010-05-18,200.6918,
2010-05-19,201.0368,
2010-05-20,191.557,
2010-05-21,198.4975,
2010-05-24,192.7807,
2010-05-25,194.3933,
2010-05-26,193.145,
2010-05-27,201.7447,
2010-05-28,197.416,
2010-05-31,197.416,
2010-06-01,193.3076,
2010-06-02,199.1894,
2010-06-03,198.1456,
2010-06-04,190.2959,
2010-06-07,186.4299,
2010-06-08,190.1895,
2010-06-09,188.346,
2010-06-10,194.6327,
2010-06-11,195.3356,
2010-06-17,198.778,
2010-06-18,199.8417,
2010-06-21,199.3009,
2010-06-22,196.2943,
2010-06-23,195.6991,
2010-06-24,191.65,
2010-06-25,197.0325,
2010-06-28,195.2729,
2010-06-29,187.6893,
2010-06-30,185.6397,
2010-07-01,184.0701,
2010-07-02,182.0832,
2010-07-05,182.0832,
2010-07-06,183.1181,
2010-07-07,191.2439,
2010-07-08,192.4738,
2010-07-09,195.5059,
2010-07-12,195.5457,
2010-07-13,200.6198,
2010-07-14,198.7856,
2010-07-15,198.5953,
2010-07-16,189.9157,
2010-07-19,189.966,
2010-07-20,192.1542,
2010-07-21,188.7126,
2010-07-22,194.5607,
2010-07-23,195.9375,
2010-07-26,198.9816,
2010-07-27,199.1926,
2010-07-28,197.3159,
2010-07-29,197.9741,
2010-07-30,197.9157,
2010-08-02,203.0011,
2010-08-03,200.7312,
2010-08-04,201.2823,
2010-08-05,200.5205,
2010-08-06,198.8669,
2010-08-09,200.0603,
2010-08-10,197.9945,
2010-08-11,190.8846,
2010-08-12,189.704,
2010-08-13,189.0947,
2010-08-16,188.6935,
2010-08-17,190.0834,
2010-08-18,190.8475,
2010-08-19,186.2622,
2010-08-20,185.8282,
2010-08-23,184.7199,
2010-08-24,181.5623,
2010-08-25,182.08,
2010-08-26,180.4824,
2010-08-27,184.7103,
2010-08-30,180.6092,
2010-08-31,182.2677,
2010-09-01,189.2874,
2010-09-02,191.0847,
2010-09-03,195.1889,
2010-09-06,195.1889,
2010-09-07,190.5567,
2010-09-08,192.7297,
2010-09-09,194.9535,
2010-09-10,195.0987,
2010-09-13,199.5195,
2010-09-14,197.5444,
2010-09-15,198.2704,
