,CLOSE,MKT_CAP_ARD
2010-01-04,442.0849,
2010-01-05,445.6009,
2010-01-06,450.204,
2010-01-07,449.1999,
2010-01-08,451.4685,
2010-01-11,451.9857,
2010-01-12,445.7353,
2010-01-13,447.4931,
2010-01-14,448.2564,
2010-01-15,444.7822,
2010-01-18,444.7822,
2010-01-19,448.5767,
2010-01-20,440.7934,
2010-01-21,432.0028,
2010-01-22,422.5569,
2010-01-25,425.168,
2010-01-26,423.1171,
2010-01-27,420.6699,
2010-01-28,416.4127,
2010-01-29,410.5667,
2010-02-01,422.6748,
2010-02-02,428.6536,
2010-02-03,425.4066,
2010-02-04,408.8252,
2010-02-05,408.3472,
2010-02-08,404.6515,
2010-02-09,412.7318,
2010-02-10,410.5749,
2010-02-11,417.0595,
2010-02-12,414.7433,
2010-02-22,421.5054,
2010-02-23,415.1721,
2010-02-24,418.3735,
2010-02-25,417.6157,
2010-02-26,418.2676,
2010-03-01,422.2529,
2010-03-02,425.5788,
2010-03-03,426.3873,
2010-03-04,424.7731,
2010-03-05,432.4581,
2010-03-08,431.7683,
2010-03-09,432.0421,
2010-03-10,434.7716,
2010-03-11,434.703,
2010-03-12,434.4189,
2010-03-15,430.2734,
2010-03-16,433.9579,
2010-03-17,438.7357,
2010-03-18,433.635,
2010-03-19,429.5448,
2010-03-22,428.1971,
2010-03-23,429.6154,
2010-03-24,426.7896,
2010-03-25,420.4547,
2010-03-26,421.2192,
2010-03-29,428.621,
2010-03-30,428.6332,
2010-03-31,430.3083,
2010-04-01,437.3397,
2010-04-02,437.3397,
2010-04-06,444.5937,
2010-04-07,440.1499,
2010-04-08,442.8086,
2010-04-09,447.7166,
2010-04-12,449.0523,
2010-04-13,446.9714,
2010-04-14,451.1808,
2010-04-15,451.1365,
2010-04-16,444.2475,
2010-04-19,445.0453,
2010-04-20,453.5746,
2010-04-21,452.8233,
2010-04-22,452.5109,
2010-04-23,462.8893,
2010-04-26,461.8892,
2010-04-27,449.0433,
2010-04-28,453.8789,
2010-04-29,454.385,
2010-04-30,449.3698,
2010-05-04,441.8171,
2010-05-05,435.2969,
2010-05-06,420.4599,
2010-05-07,414.0446,
2010-05-10,430.4061,
2010-05-11,427.0073,
2010-05-12,432.4275,
2010-05-13,429.0857,
2010-05-14,420.6431,
2010-05-17,416.6417,
2010-05-18,413.5925,
2010-05-19,409.4778,
2010-05-20,391.3346,
2010-05-21,398.034,
2010-05-24,389.395,
2010-05-25,389.1455,
2010-05-26,388.1008,
2010-05-27,404.3892,
2010-05-28,396.3061,
2010-05-31,396.3061,
2010-06-01,379.4698,
2010-06-02,395.7162,
2010-06-03,400.0211,
