,MKT_CAP_ARD
2011-04-01,12553391023276.998
2011-04-06,12584254846520.0
2011-04-07,12565238818857.998
2011-04-08,12515431546524.0
2011-04-11,12481298921917.0
2011-04-12,12386871442239.0
2011-04-13,12391744154502.0
2011-04-14,12391559920178.0
2011-04-15,12434584590546.0
2011-04-18,12297872081663.0
2011-04-19,12366970585140.0
2011-04-20,12542313699884.0
2011-04-21,12606201148462.0
2011-04-22,12605282277020.0
2011-04-25,12581913012988.0
2011-04-26,12693219586380.0
2011-04-27,12774369832003.0
2011-04-28,12818709370564.0
2011-04-29,12862991856177.002
2011-05-03,12804138480488.0
2011-05-04,12718738666824.998
2011-05-05,12604003050832.0
2011-05-06,12651789024234.0
2011-05-09,12705576119589.0
2011-05-10,12808243920240.0
2011-05-11,12668313348502.0
2011-05-12,12732865387119.998
2011-05-13,12630122977966.002
2011-05-16,12550432047031.0
2011-05-17,12546184930353.0
2011-05-18,12653658051112.0
2011-05-19,12682228871333.0
2011-05-20,12583451475497.0
2011-05-23,12432701618538.0
2011-05-24,12423657055570.0
2011-05-25,12459719557555.0
2011-05-26,12510775017386.0
2011-05-27,12561599652181.0
2011-05-30,12561473720243.002
2011-05-31,12687995361874.002
2011-06-01,12399577532282.0
2011-06-02,12384563257197.002
2011-06-03,12262385668764.0
2011-06-07,12121527131872.0
2011-06-08,12068793106291.0
2011-06-09,12158198225602.0
2011-06-10,11990180729854.0
2011-06-13,11997523206267.0
2011-06-14,12148067532679.998
2011-06-15,11934916695904.0
2011-06-16,11955511819440.0
2011-06-17,11990232570257.0
2011-06-20,12056044835918.0
2011-06-21,12219085799291.0
2011-06-22,12139985804631.0
2011-06-23,12107101365965.0
2011-06-24,11962668164350.0
2011-06-27,12067230600045.0
2011-06-28,12224428755365.0
2011-06-29,12328392490629.0
2011-06-30,12427563965082.0
2011-07-01,12588787710706.0
2011-07-04,12587516375162.0
2011-07-05,12610546116769.0
2011-07-06,12624297706752.998
2011-07-07,12758797982557.002
2011-07-08,12671239851047.0
2011-07-11,12442160689335.0
2011-07-12,12386920878771.998
2011-07-13,12426253104962.0
2011-07-14,12341237797716.0
2011-07-15,12414809291821.0
2011-07-18,12312776246642.0
2011-07-19,12514332508177.0
2011-07-20,12504450598427.0
2011-07-21,12671552124008.0
2011-07-22,12683235605309.998
2011-07-25,12611303877904.0
2011-07-26,12560121712586.0
2011-07-27,12305204468018.0
2011-07-28,12269203397927.0
2011-07-29,12199535795559.0
2011-08-01,12160377773954.0
2011-08-02,11856529170165.0
2011-08-03,11919978041926.0
2011-08-04,11350988831290.0
2011-08-05,11343158762201.0
2011-08-08,10585735288718.0
2011-08-09,11087177981690.0
2011-08-10,10598438434523.0
2011-08-11,11087682501601.0
2011-08-12,11144611497406.002
2011-08-15,11383891571305.0
2011-08-16,11277784866659.998
2011-08-17,11284750154718.0
2011-08-18,10783292901023.0
2011-08-19,10620640356359.0
2011-08-22,10624352190120.0
2011-08-23,10991241418083.0
2011-08-24,11135072816238.0
2011-08-25,10960535971307.002
2011-08-26,11125971444744.0
2011-08-29,11436707484970.0
2011-08-30,11463831331702.002
2011-08-31,11516034616471.0
2011-09-01,11378259462730.0
2011-09-02,11091885106848.0
2011-09-05,11091831381910.998
2011-09-06,11010968731355.0
2011-09-07,11327054752397.0
2011-09-08,11206318297132.0
2011-09-09,10908323073635.002
2011-09-13,11086608303153.0
2011-09-14,11236659820724.0
2011-09-15,11428751585000.998
2011-09-16,11494597312538.0
2011-09-19,11384120918358.0
2011-09-20,11364519733771.0
2011-09-21,11033153676068.0
2011-09-22,10679369822516.0
2011-09-23,10746684160441.0
2011-09-26,11013833588059.0
2011-09-27,11129885344281.002
2011-09-28,10900377414590.002
2011-09-29,10983742969129.0
2011-09-30,10687767325521.0
2011-10-10,11273909156867.002
2011-10-11,11281245370678.0
2011-10-12,11391836011934.0
2011-10-13,11359739494412.0
2011-10-14,11562854733638.0
2011-10-17,11339316562866.002
2011-10-18,11570948732447.0
2011-10-19,11422742519988.0
2011-10-20,11473449944080.0
2011-10-21,11685136280797.998
2011-10-24,11833573946939.002
2011-10-25,11592305247394.0
2011-10-26,11706850851018.0
2011-10-27,12104668108235.0
2011-10-28,12098255965446.0
2011-10-31,11772600423270.0
2011-11-01,11449981935160.0
2011-11-02,11634239760899.0
2011-11-03,11852079081085.998
2011-11-04,11777637998540.0
2011-11-07,11849456076020.0
2011-11-08,11989549191454.0
2011-11-09,11550078190146.0
2011-11-10,11647517332242.0
2011-11-11,11875596354186.0
2011-11-14,11763920791698.0
2011-11-15,11819098198605.0
2011-11-16,11621010473566.0
2011-11-17,11424857959872.0
2011-11-18,11418782661213.0
2011-11-21,11204953620978.0
2011-11-22,11166165767526.0
2011-11-23,10920762967743.002
2011-11-24,10920762967743.002
2011-11-25,10890922271701.0
2011-11-28,11208148452716.0
2011-11-29,11231876833274.0
2011-11-30,11713380250028.998
2011-12-01,11693004663622.0
2011-12-02,11688900013026.0
2011-12-05,11809135943802.0
2011-12-06,11820553739734.002
2011-12-07,11843676635430.0
2011-12-08,11592852044863.0
2011-12-09,11788127764471.0
2011-12-12,11614104963401.0
2011-12-13,11511618212500.998
2011-12-14,11381362213848.0
2011-12-15,11417589772424.0
2011-12-16,11478016487025.002
2011-12-19,11342880004877.0
2011-12-20,11681139978242.0
2011-12-21,11696468478256.0
2011-12-22,11790761096220.0
2011-12-23,11897687225165.0
2011-12-26,11897607995950.0
2011-12-27,11897361735344.0
2011-12-28,11749725016710.0
2011-12-29,11873116561803.0
2011-12-30,11820398897451.0
2012-01-04,11968967020952.0
2012-01-05,12003210523338.0
2012-01-06,11971348785258.0
2012-01-09,11997099584693.0
2012-01-10,12103870702355.0
2012-01-11,12108011963838.0
2012-01-12,12137888352772.998
2012-01-13,12079720734308.0
2012-01-16,12078890581348.0
2012-01-17,12121062338910.0
2012-01-18,12256630462363.998
2012-01-19,12319096138805.0
