ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2021-06-30 13:46:00+00:00,33,2,6316,15.1,15.1,15.1,15.1,5,META
2021-06-30 13:51:00+00:00,33,2,6316,15.08,15.08,15.08,15.08,8,META
2021-06-30 13:52:00+00:00,33,2,6316,15.08,15.08,15.08,15.08,100,META
2021-06-30 13:56:00+00:00,33,2,6316,15.11,15.11,15.11,15.11,4,META
2021-06-30 14:07:00+00:00,33,2,6316,15.12,15.12,15.12,15.12,3,META
2021-06-30 14:10:00+00:00,33,2,6316,15.13,15.13,15.13,15.13,12,META
2021-06-30 14:12:00+00:00,33,2,6316,15.11,15.11,15.11,15.11,5,META
2021-06-30 14:13:00+00:00,33,2,6316,15.11,15.12,15.11,15.11,567,META
2021-06-30 14:14:00+00:00,33,2,6316,15.11,15.11,15.11,15.11,1,META
2021-06-30 14:16:00+00:00,33,2,6316,15.08,15.09,15.08,15.09,130,META
2021-06-30 14:17:00+00:00,33,2,6316,15.11,15.11,15.11,15.11,1,META
2021-06-30 14:20:00+00:00,33,2,6316,15.09,15.09,15.09,15.09,20,META
2021-06-30 14:23:00+00:00,33,2,6316,15.1,15.1,15.1,15.1,19,META
2021-06-30 14:25:00+00:00,33,2,6316,15.1,15.1,15.1,15.1,2521,META
2021-06-30 14:26:00+00:00,33,2,6316,15.09,15.1,15.09,15.1,5004,META
2021-06-30 14:27:00+00:00,33,2,6316,15.09,15.09,15.09,15.09,413,META
2021-06-30 14:28:00+00:00,33,2,6316,15.1,15.1,15.1,15.1,8,META
2021-06-30 14:29:00+00:00,33,2,6316,15.1,15.1,15.1,15.1,67,META
2021-06-30 14:32:00+00:00,33,2,6316,15.12,15.12,15.12,15.12,355,META
2021-06-30 14:33:00+00:00,33,2,6316,15.11,15.11,15.11,15.11,30,META
2021-06-30 14:34:00+00:00,33,2,6316,15.11,15.11,15.11,15.11,80,META
2021-06-30 14:36:00+00:00,33,2,6316,15.1,15.1,15.1,15.1,215,META
2021-06-30 14:37:00+00:00,33,2,6316,15.09,15.09,15.09,15.09,2,META
2021-06-30 14:39:00+00:00,33,2,6316,15.1,15.1,15.1,15.1,110,META
2021-06-30 14:41:00+00:00,33,2,6316,15.09,15.09,15.09,15.09,150,META
2021-06-30 14:43:00+00:00,33,2,6316,15.09,15.09,15.09,15.09,11,META
2021-06-30 14:44:00+00:00,33,2,6316,15.08,15.08,15.08,15.08,331,META
2021-06-30 14:46:00+00:00,33,2,6316,15.09,15.09,15.09,15.09,8,META
2021-06-30 14:49:00+00:00,33,2,6316,15.06,15.06,15.06,15.06,12,META
2021-06-30 14:50:00+00:00,33,2,6316,15.07,15.07,15.07,15.07,10,META
2021-06-30 14:55:00+00:00,33,2,6316,15.09,15.09,15.09,15.09,492,META
2021-06-30 14:58:00+00:00,33,2,6316,15.09,15.09,15.09,15.09,101,META
2021-06-30 15:02:00+00:00,33,2,6316,15.09,15.09,15.09,15.09,296,META
2021-06-30 15:04:00+00:00,33,2,6316,15.09,15.09,15.09,15.09,400,META
2021-06-30 15:05:00+00:00,33,2,6316,15.09,15.1,15.09,15.1,1849,META
2021-06-30 15:07:00+00:00,33,2,6316,15.09,15.1,15.09,15.1,3000,META
2021-06-30 15:09:00+00:00,33,2,6316,15.1,15.1,15.1,15.1,70,META
2021-06-30 15:10:00+00:00,33,2,6316,15.1,15.1,15.09,15.09,170,META
2021-06-30 15:12:00+00:00,33,2,6316,15.09,15.09,15.07,15.07,700,META
2021-06-30 15:15:00+00:00,33,2,6316,15.08,15.08,15.08,15.08,9,META
2021-06-30 15:16:00+00:00,33,2,6316,15.08,15.08,15.08,15.08,803,META
2021-06-30 15:18:00+00:00,33,2,6316,15.08,15.08,15.08,15.08,332,META
2021-06-30 15:22:00+00:00,33,2,6316,15.08,15.08,15.08,15.08,100,META
2021-06-30 15:23:00+00:00,33,2,6316,15.08,15.08,15.08,15.08,71,META
2021-06-30 15:24:00+00:00,33,2,6316,15.07,15.07,15.07,15.07,180,META
2021-06-30 15:25:00+00:00,33,2,6316,15.07,15.07,15.07,15.07,136,META
2021-06-30 15:26:00+00:00,33,2,6316,15.07,15.07,15.07,15.07,184,META
2021-06-30 15:27:00+00:00,33,2,6316,15.08,15.08,15.08,15.08,45,META
2021-06-30 15:36:00+00:00,33,2,6316,15.07,15.07,15.07,15.07,8,META
2021-06-30 15:37:00+00:00,33,2,6316,15.07,15.07,15.07,15.07,1,META
2021-06-30 15:39:00+00:00,33,2,6316,15.07,15.07,15.07,15.07,2,META
2021-06-30 15:41:00+00:00,33,2,6316,15.07,15.07,15.07,15.07,300,META
2021-06-30 15:43:00+00:00,33,2,6316,15.07,15.07,15.07,15.07,400,META
2021-06-30 15:45:00+00:00,33,2,6316,15.07,15.07,15.05,15.05,287,META
2021-06-30 15:46:00+00:00,33,2,6316,15.06,15.06,15.06,15.06,8,META
2021-06-30 15:48:00+00:00,33,2,6316,15.06,15.07,15.06,15.06,4300,META
2021-06-30 15:49:00+00:00,33,2,6316,15.07,15.07,15.07,15.07,250,META
2021-06-30 15:50:00+00:00,33,2,6316,15.07,15.07,15.07,15.07,132,META
2021-06-30 15:51:00+00:00,33,2,6316,15.07,15.07,15.07,15.07,4003,META
2021-06-30 15:52:00+00:00,33,2,6316,15.07,15.08,15.07,15.08,5997,META
2021-06-30 15:54:00+00:00,33,2,6316,15.08,15.08,15.08,15.08,500,META
2021-06-30 15:55:00+00:00,33,2,6316,15.08,15.08,15.08,15.08,500,META
2021-06-30 15:58:00+00:00,33,2,6316,15.08,15.08,15.08,15.08,300,META
2021-06-30 15:59:00+00:00,33,2,6316,15.09,15.09,15.09,15.09,512,META
2021-06-30 16:00:00+00:00,33,2,6316,15.08,15.08,15.08,15.08,25,META
2021-06-30 16:02:00+00:00,33,2,6316,15.08,15.08,15.08,15.08,331,META
2021-06-30 16:03:00+00:00,33,2,6316,15.08,15.08,15.08,15.08,15,META
2021-06-30 16:05:00+00:00,33,2,6316,15.08,15.08,15.08,15.08,431,META
2021-06-30 16:06:00+00:00,33,2,6316,15.09,15.09,15.09,15.09,305,META
2021-06-30 16:09:00+00:00,33,2,6316,15.1,15.1,15.1,15.1,950,META
2021-06-30 16:10:00+00:00,33,2,6316,15.1,15.1,15.1,15.1,520,META
2021-06-30 16:11:00+00:00,33,2,6316,15.1,15.1,15.1,15.1,2,META
2021-06-30 16:12:00+00:00,33,2,6316,15.1,15.1,15.1,15.1,5,META
2021-06-30 16:13:00+00:00,33,2,6316,15.1,15.1,15.1,15.1,307,META
2021-06-30 16:14:00+00:00,33,2,6316,15.1,15.11,15.1,15.11,462,META
2021-06-30 16:15:00+00:00,33,2,6316,15.11,15.11,15.11,15.11,100,META
2021-06-30 16:16:00+00:00,33,2,6316,15.11,15.11,15.11,15.11,50,META
2021-06-30 16:17:00+00:00,33,2,6316,15.11,15.11,15.11,15.11,100,META
2021-06-30 16:19:00+00:00,33,2,6316,15.12,15.12,15.12,15.12,2,META
2021-06-30 16:20:00+00:00,33,2,6316,15.1,15.1,15.1,15.1,407,META
2021-06-30 16:21:00+00:00,33,2,6316,15.1,15.1,15.1,15.1,40,META
2021-06-30 16:24:00+00:00,33,2,6316,15.1,15.1,15.1,15.1,150,META
2021-06-30 16:26:00+00:00,33,2,6316,15.07,15.07,15.07,15.07,500,META
2021-06-30 16:27:00+00:00,33,2,6316,15.07,15.07,15.07,15.07,260,META
2021-06-30 16:28:00+00:00,33,2,6316,15.07,15.07,15.07,15.07,2,META
2021-06-30 16:29:00+00:00,33,2,6316,15.07,15.07,15.07,15.07,100,META
