Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity
AAPL,APPLE INC,Information Technology,Equity,"44,446,953,895.86",7.58,"44,446,953,895.86","177,489,633.00"
NVDA,NVIDIA CORP,Information Technology,Equity,"38,679,635,854.21",6.6,"38,679,635,854.21","288,030,649.00"
MSFT,MICROSOFT CORP,Information Technology,Equity,"36,797,030,928.00",6.28,"36,797,030,928.00","87,300,192.00"
AMZN,AMAZON COM INC,Consumer Discretionary,Equity,"24,107,806,829.97",4.11,"24,107,806,829.97","109,885,623.00"
META,META PLATFORMS INC CLASS A,Communication,Equity,"14,987,614,474.38",2.56,"14,987,614,474.38","25,597,538.00"
TSLA,TESLA INC,Consumer Discretionary,Equity,"13,242,913,911.68",2.26,"13,242,913,911.68","32,792,477.00"
GOOGL,ALPHABET INC CLASS A,Communication,Equity,"12,987,552,515.10",2.22,"12,987,552,515.10","68,608,307.00"
AVGO,BROADCOM INC,Information Technology,Equity,"12,714,532,185.60",2.17,"12,714,532,185.60","54,841,840.00"
GOOG,ALPHABET INC CLASS C,Communication,Equity,"10,642,327,478.28",1.82,"10,642,327,478.28","55,882,837.00"
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Financials,Equity,"9,755,673,472.00",1.66,"9,755,673,472.00","21,522,400.00"
JPM,JPMORGAN CHASE & CO,Financials,Equity,"7,924,240,891.65",1.35,"7,924,240,891.65","33,057,615.00"
LLY,ELI LILLY,Health Care,Equity,"7,142,407,356.00",1.22,"7,142,407,356.00","9,251,823.00"
V,VISA INC CLASS A,Financials,Equity,"6,412,873,513.40",1.09,"6,412,873,513.40","20,291,335.00"
XOM,EXXON MOBIL CORP,Energy,Equity,"5,551,375,424.29",0.95,"5,551,375,424.29","51,607,097.00"
UNH,UNITEDHEALTH GROUP INC,Health Care,Equity,"5,466,268,021.26",0.93,"5,466,268,021.26","10,805,891.00"
MA,MASTERCARD INC CLASS A,Financials,Equity,"5,068,143,047.11",0.86,"5,068,143,047.11","9,624,823.00"
COST,COSTCO WHOLESALE CORP,Consumer Staples,Equity,"4,766,977,139.30",0.81,"4,766,977,139.30","5,202,590.00"
PG,PROCTER & GAMBLE,Consumer Staples,Equity,"4,636,006,840.85",0.79,"4,636,006,840.85","27,652,889.00"
WMT,WALMART INC,Consumer Staples,Equity,"4,604,945,970.30",0.79,"4,604,945,970.30","50,967,858.00"
HD,HOME DEPOT INC,Consumer Discretionary,Equity,"4,536,855,331.33",0.77,"4,536,855,331.33","11,663,167.00"
NFLX,NETFLIX INC,Communication,Equity,"4,473,714,235.32",0.76,"4,473,714,235.32","5,019,201.00"
JNJ,JOHNSON & JOHNSON,Health Care,Equity,"4,088,449,918.28",0.7,"4,088,449,918.28","28,270,294.00"
CRM,SALESFORCE INC,Information Technology,Equity,"3,752,946,190.75",0.64,"3,752,946,190.75","11,225,275.00"
ABBV,ABBVIE INC,Health Care,Equity,"3,687,218,846.80",0.63,"3,687,218,846.80","20,749,684.00"
BAC,BANK OF AMERICA CORP,Financials,Equity,"3,444,910,215.75",0.59,"3,444,910,215.75","78,382,485.00"
ORCL,ORACLE CORP,Information Technology,Equity,"3,144,823,247.76",0.54,"3,144,823,247.76","18,871,959.00"
MRK,MERCK & CO INC,Health Care,Equity,"2,954,850,361.32",0.5,"2,954,850,361.32","29,702,959.00"
CVX,CHEVRON CORP,Energy,Equity,"2,842,388,536.56",0.48,"2,842,388,536.56","19,624,334.00"
KO,COCA-COLA,Consumer Staples,Equity,"2,834,311,040.88",0.48,"2,834,311,040.88","45,523,788.00"
CSCO,CISCO SYSTEMS INC,Information Technology,Equity,"2,770,779,336.00",0.47,"2,770,779,336.00","46,803,705.00"
WFC,WELLS FARGO,Financials,Equity,"2,746,017,066.24",0.47,"2,746,017,066.24","39,094,776.00"
ACN,ACCENTURE PLC CLASS A,Information Technology,Equity,"2,581,115,242.89",0.44,"2,581,115,242.89","7,337,091.00"
NOW,SERVICENOW INC,Information Technology,Equity,"2,564,327,448.36",0.44,"2,564,327,448.36","2,418,903.00"
PEP,PEPSICO INC,Consumer Staples,Equity,"2,449,661,814.22",0.42,"2,449,661,814.22","16,109,837.00"
MCD,MCDONALDS CORP,Consumer Discretionary,Equity,"2,439,306,654.66",0.42,"2,439,306,654.66","8,414,594.00"
IBM,INTERNATIONAL BUSINESS MACHINES CO,Information Technology,Equity,"2,386,731,900.93",0.41,"2,386,731,900.93","10,857,171.00"
