date,mktrf,smb,hml,rmw,cma,rf,umd
2021-01-04,-0.014100,0.002400,0.004800,-0.007100,0.002200,0.00000,-0.000100
2021-01-05,0.008600,0.013300,0.004800,0.003400,0.006000,0.00000,-0.007200
2021-01-06,0.007900,0.031800,0.039100,0.000100,0.005800,0.00000,-0.025800
2021-01-07,0.017600,0.000000,-0.007900,-0.014700,-0.002300,0.00000,0.015600
2021-01-08,0.005100,-0.010500,-0.013200,-0.003900,-0.004400,0.00000,0.008400
2021-01-11,-0.005200,0.005600,0.012400,-0.001800,0.004700,0.00000,-0.009200
2021-01-12,0.003800,0.014800,0.012100,-0.004500,0.004300,0.00000,-0.007200
2021-01-13,0.000700,-0.010200,-0.004600,-0.002100,-0.000400,0.00000,0.004300
2021-01-14,-0.001100,0.024000,0.010800,-0.010300,0.004700,0.00000,-0.010600
2021-01-15,-0.008600,-0.007500,-0.007500,0.002800,-0.004700,0.00000,0.006100
2021-01-19,0.009200,0.007400,-0.007900,-0.006900,0.000900,0.00000,0.006300
2021-01-20,0.012600,-0.007500,-0.010700,0.006400,-0.004000,0.00000,0.012600
2021-01-21,-0.000400,-0.007500,-0.009600,0.008300,0.003900,0.00000,0.011900
2021-01-22,-0.000700,0.016200,-0.000900,-0.006800,0.006000,0.00000,0.008200
2021-01-25,0.002900,-0.003000,-0.003900,0.002400,0.009600,0.00000,0.003100
2021-01-26,-0.003200,0.000300,-0.000500,0.009800,0.011400,0.00000,0.002500
2021-01-27,-0.025300,0.012100,0.015500,0.005500,0.025200,0.00000,-0.006500
2021-01-28,0.009200,-0.016900,-0.009100,-0.010400,-0.023000,0.00000,0.002000
2021-01-29,-0.018400,0.004300,0.005800,-0.007600,0.004000,0.00000,0.002200
2021-02-01,0.017300,0.007500,-0.014700,-0.002400,-0.012200,0.00000,0.012800
2021-02-02,0.014800,-0.008000,-0.010700,-0.010000,-0.021900,0.00000,-0.000800
2021-02-03,0.001600,0.007200,0.006600,-0.001200,0.002100,0.00000,-0.010100
2021-02-04,0.012300,0.006000,0.003600,-0.001100,-0.002300,0.00000,-0.004200
2021-02-05,0.005700,0.009600,-0.004800,-0.007200,0.004200,0.00000,0.004200
2021-02-08,0.009600,0.022200,0.004100,-0.009300,0.007000,0.00000,0.004300
2021-02-09,0.000500,0.007200,-0.002100,-0.007700,-0.004500,0.00000,0.004500
2021-02-10,-0.000800,-0.004500,0.006200,0.002200,-0.000200,0.00000,-0.008200
2021-02-11,0.001900,-0.003200,-0.004600,-0.003000,-0.000400,0.00000,0.007200
2021-02-12,0.004900,-0.001100,0.004700,-0.003800,-0.000300,0.00000,0.006500
2021-02-16,-0.001400,-0.002100,0.018700,0.001400,0.000200,0.00000,-0.006800
2021-02-17,-0.002100,-0.006800,0.006100,0.002800,-0.001500,0.00000,-0.011400
2021-02-18,-0.006400,-0.014900,-0.001800,0.009200,-0.004600,0.00000,-0.008900
